old,new
kafyh,cafe
kar,car
syarat,cars
mrkz,center
llalbsh,clothing
azyaa,clothing
mlbwsat,clothing
shrkh,company
hwasyb,computers
kmbywtr,computers
staer,curtains
jmrky,customs-clearance
asnan,dental-clinic
qyadh,driving-school
kazyh,gas-station
mhrwqat,gas-station
mhth,gas-station
nady,gym
mshfa,hospital
mstshfa,hospital
fndq,hotel
shhn,International-shipping
mjwhrat,jewellery
mswghat,jewellery
hdanh,kindergarten
rwdh,kindergarten
mktb,office
atwr,parfum
tswyr,photography
aqarat,real-estate
aqaryh,real-estate
mdars,school
mdrsh,school
thanwyh,school
hdhaa,shoes
llahdhyh,shoes
shwz,shoes
mard,showroom
shmsyh,solar               
taqh,solar               
sbwrat,sporat
mlab,stadium
mhl,store
stwdyw,studio
tksy,taxi
tknwlwjy,technology
jamah,university
ayadh,clinic
mswr,photography
dktwr,doctor
